No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
155  1:30:16.976    2:05:32.939    2:05:38.223    5.284      5.284      Paused by player, Unpause by player
156  1:30:17.626    2:05:38.857    2:05:41.525    2.668      2.668      Paused by player, Unpause by player
157  1:30:19.926    2:05:43.794    2:05:53.261    9.467      9.467      Paused by player, Unpause by player
158  1:30:20.376    2:05:53.706    2:05:54.071    0.365      0.365      Paused by player, Unpause by player
159  1:30:20.626    2:05:54.300    2:06:00.310    6.010      6.010      Paused by player, Unpause by player
160  1:30:39.526    2:06:19.176    2:06:23.687    4.511      4.511      Paused by player, Unpause by player
161  1:31:01.176    2:06:45.373    2:07:04.196    18.823     18.823     Paused by player, Unpause by player
162  1:31:29.126    2:07:32.164    2:07:32.431    0.267      0.267      Paused by player, Unpause by player
163  1:32:41.076    2:08:44.391    2:08:45.051    0.660      0.660      Paused by player, Unpause by player
164  1:32:41.576    2:08:45.546    2:08:46.568    1.022      1.022      Paused by player, Unpause by player
165  1:33:26.176    2:09:31.146    2:10:32.857    61.711     61.711     Paused by player, Unpause by player
166  1:33:41.526    2:10:48.243    2:10:48.682    0.439      0.439      Paused by player, Unpause by player
167  1:33:53.576    2:11:00.695    2:11:02.427    1.732      1.732      Paused by player, Unpause by player
168  1:33:54.226    2:11:03.060    2:11:03.578    0.518      0.518      Paused by player, Unpause by player
169  1:33:54.526    2:11:03.839    2:11:05.187    1.348      1.348      Paused by player, Unpause by player
170  1:33:55.176    2:11:05.792    2:11:06.915    1.123      1.123      Paused by player, Unpause by player
171  1:33:55.626    2:11:07.342    2:11:08.157    0.815      0.815      Paused by player, Unpause by player
172  1:33:56.326    2:11:08.832    2:11:09.483    0.651      0.651      Paused by player, Unpause by player
173  1:33:57.026    2:11:10.144    2:11:10.502    0.358      0.358      Paused by player, Unpause by player
174  1:33:57.276    2:11:10.756    2:11:11.083    0.327      0.327      Paused by player, Unpause by player
175  1:33:57.626    2:11:11.404    2:11:11.906    0.502      0.502      Paused by player, Unpause by player
176  1:34:23.076    2:11:37.329    2:11:37.882    0.553      0.553      Paused by player, Unpause by player
177  1:34:24.326    2:11:39.101    2:11:40.224    1.123      1.123      Paused by player, Unpause by player
178  1:34:25.176    2:11:41.056    2:11:43.263    2.207      2.207      Paused by player, Unpause by player
179  1:34:26.776    2:11:44.840    2:11:46.354    1.514      1.514      Paused by player, Unpause by player
180  1:34:27.226    2:11:46.812    2:11:47.672    0.860      0.860      Paused by player, Unpause by player
181  1:34:33.526    2:11:53.970    2:12:11.275    17.305     17.305     Paused by player, Unpause by player
182  1:35:56.126    2:13:33.866    2:13:38.309    4.443      4.443      Paused by player, Unpause by player
183  1:35:56.526    2:13:38.699    2:13:39.555    0.856      0.856      Paused by player, Unpause by player
184  1:36:02.176    2:13:45.178    2:14:55.076    69.898                Paused by player, Unpause by rendered
185  1:36:04.233    2:14:57.147    2:14:58.586    1.439      1.439      Paused by player, Unpause by player
186  1:36:10.533    2:15:04.874    2:15:05.899    1.025      1.025      Paused by player, Unpause by player
187  1:36:12.533    2:15:07.910    2:15:08.463    0.553      0.553      Paused by player, Unpause by player
188  1:36:13.633    2:15:09.576    2:15:13.586    4.010      4.010      Paused by player, Unpause by player
189  1:37:04.933    2:16:04.869    2:16:06.123    1.254      1.254      Paused by player, Unpause by player
190  1:37:11.483    2:16:12.652    2:16:14.171    1.519      1.519      Paused by player, Unpause by player
191  1:37:13.833    2:16:16.520    2:16:17.142    0.622      0.622      Paused by player, Unpause by player
192  1:37:15.783    2:16:19.061    2:16:19.632    0.571      0.571      Paused by player, Unpause by player
193  1:37:26.783    2:16:30.630    2:16:35.677    5.047      5.047      Paused by player, Unpause by player
194  1:37:27.433    2:16:36.325    2:16:42.354    6.029      6.029      Paused by player, Unpause by player
195  1:37:35.783    2:16:50.662    2:18:02.165    71.503                Paused by player, Unpause by changed look direction
196  1:37:38.085    2:18:04.042    2:18:04.887    0.845      0.845      Paused by player, Unpause by player
197  1:37:39.535    2:18:06.306    2:18:06.968    0.662      0.662      Paused by player, Unpause by player
198  1:37:40.685    2:18:08.126    2:18:08.651    0.525      0.525      Paused by player, Unpause by player
199  1:37:47.485    2:18:15.422    2:18:16.430    1.008      1.008      Paused by player, Unpause by player
200  1:37:48.385    2:18:17.300    2:18:18.502    1.202      1.202      Paused by player, Unpause by player
201  1:38:08.335    2:18:38.413    2:18:39.674    1.261      1.261      Paused by player, Unpause by player
202  1:39:01.135    2:19:32.458    2:19:33.124    0.666      0.666      Paused by player, Unpause by player
203  1:39:01.785    2:19:33.756    2:19:39.166    5.410      5.410      Paused by player, Unpause by player
204  1:39:36.535    2:20:13.919    2:21:56.447    102.528    102.528    Paused by player, Unpause by player
205  1:40:38.985    2:22:58.869    2:22:59.677    0.808      0.808      Paused by player, Unpause by player
206  1:40:39.335    2:22:59.994    2:23:00.642    0.648      0.648      Paused by player, Unpause by player
207  1:40:40.135    2:23:01.409    2:23:02.232    0.823      0.823      Paused by player, Unpause by player
208  1:40:40.685    2:23:02.775    2:23:03.312    0.537      0.537      Paused by player, Unpause by player
209  1:40:41.335    2:23:03.964    2:23:04.640    0.676      0.676      Paused by player, Unpause by player
210  1:40:44.235    2:23:07.511    2:23:10.527    3.016      3.016      Paused by player, Unpause by player
211  1:40:57.435    2:23:23.722    2:23:38.555    14.833     14.833     Paused by player, Unpause by player
212  1:41:35.785    2:24:16.861    2:24:20.714    3.853      3.853      Paused by player, Unpause by player
213  1:41:53.285    2:24:38.224    2:24:53.982    15.758     15.758     Paused by player, Unpause by player
214  1:42:22.035    2:25:22.728    2:26:40.587    77.859     77.859     Paused by player, Unpause by player
215  1:43:23.435    2:27:41.974    2:27:45.345    3.371      3.371      Paused by player, Unpause by player
216  1:43:24.135    2:27:46.047    2:27:53.982    7.935      7.935      Paused by player, Unpause by player
217  1:45:00.285    2:29:30.109    2:29:30.310    0.201      0.201      Paused by player, Unpause by player
218  1:45:00.635    2:29:30.632    2:29:32.671    2.039      2.039      Paused by player, Unpause by player
219  1:45:31.235    2:30:03.267    2:30:15.088    11.821     11.821     Paused by player, Unpause by player
220  1:45:37.635    2:30:21.452    2:30:24.700    3.248      3.248      Paused by player, Unpause by player
221  1:45:58.585    2:30:45.620    2:30:49.243    3.623      3.623      Paused by player, Unpause by player
222  1:46:04.285    2:30:54.940    2:30:58.607    3.667      3.667      Paused by player, Unpause by player
223  1:46:05.735    2:31:00.036    2:31:02.693    2.657      2.657      Paused by player, Unpause by player
224  1:46:19.785    2:31:16.715    2:31:22.283    5.568      5.568      Paused by player, Unpause by player
225  1:46:25.335    2:31:27.819    2:31:28.883    1.064      1.064      Paused by player, Unpause by player
226  1:46:26.235    2:31:29.761    2:31:30.953    1.192      1.192      Paused by player, Unpause by player
227  1:46:26.835    2:31:31.535    2:31:32.345    0.810      0.810      Paused by player, Unpause by player
228  1:46:28.035    2:31:33.515    2:31:53.208    19.693     19.693     Paused by player, Unpause by player
229  1:50:47.085    2:36:12.231    2:36:17.716    5.485      5.485      Paused by player, Unpause by player
230  1:50:49.285    2:36:19.916    2:36:20.982    1.066      1.066      Paused by player, Unpause by player
231  1:51:10.385    2:36:42.067    2:36:43.650    1.583      1.583      Paused by player, Unpause by player
232  1:51:44.335    2:37:17.600    2:37:28.273    10.673     10.673     Paused by player, Unpause by player
233  1:52:49.235    2:38:33.154    2:38:47.920    14.766     14.766     Paused by player, Unpause by player
234  1:57:04.135    2:43:02.789    2:43:09.803    7.014      7.014      Paused by player, Unpause by player
235  1:57:09.785    2:43:15.445    2:43:20.441    4.996      4.996      Paused by player, Unpause by player
236  2:00:25.585    2:46:36.234    2:46:44.119    7.885      7.885      Paused by player, Unpause by player
237  2:02:13.585    2:48:32.120    2:48:39.487    7.367      7.367      Paused by player, Unpause by player
238  2:02:25.835    2:48:51.720    2:48:54.379    2.659      2.659      Paused by player, Unpause by player
239  2:02:47.435    2:49:15.950    2:49:21.957    6.007      6.007      Paused by player, Unpause by player
240  2:05:31.435    2:52:06.002    2:52:06.306    0.304      0.304      Paused by player, Unpause by player
241  2:05:41.435    2:52:16.303    2:52:17.240    0.937      0.937      Paused by player, Unpause by player
242  2:05:45.685    2:52:21.494    2:52:22.438    0.944      0.944      Paused by player, Unpause by player
243  2:05:46.635    2:52:23.394    2:52:24.487    1.093      1.093      Paused by player, Unpause by player
244  2:05:55.885    2:52:33.747    2:52:35.966    2.219      2.219      Paused by player, Unpause by player
245  2:05:57.885    2:52:37.948    2:52:39.170    1.222      1.222      Paused by player, Unpause by player
246  2:06:06.235    2:52:47.526    2:52:48.257    0.731      0.731      Paused by player, Unpause by player
247  2:06:06.535    2:52:48.527    2:52:49.355    0.828      0.828      Paused by player, Unpause by player
248  2:06:06.985    2:52:49.801    2:52:53.001    3.200      3.200      Paused by player, Unpause by player
249  2:06:08.035    2:52:54.029    2:52:55.057    1.028      1.028      Paused by player, Unpause by player
250  2:06:08.385    2:52:55.410    2:52:56.473    1.063      1.063      Paused by player, Unpause by player
251  2:06:10.385    2:52:58.459    2:52:59.392    0.933      0.933      Paused by player, Unpause by player
252  2:06:12.085    2:53:01.085    2:53:01.687    0.602      0.602      Paused by player, Unpause by player
253  2:06:12.935    2:53:02.526    2:53:03.293    0.767      0.767      Paused by player, Unpause by player
254  2:06:38.635    2:53:28.965    2:53:30.322    1.357      1.357      Paused by player, Unpause by player
255  2:06:39.985    2:53:31.630    2:53:32.395    0.765      0.765      Paused by player, Unpause by player
256  2:06:40.335    2:53:32.740    2:53:33.905    1.165      1.165      Paused by player, Unpause by player
257  2:06:41.185    2:53:34.730    2:53:35.353    0.623      0.623      Paused by player, Unpause by player
258  2:06:44.285    2:53:38.471    2:53:43.214    4.743      4.743      Paused by player, Unpause by player
259  2:06:49.285    2:53:48.220    2:53:50.049    1.829      1.829      Paused by player, Unpause by player
260  2:07:05.285    2:54:06.021    2:54:10.791    4.770      4.770      Paused by player, Unpause by player
261  2:07:06.585    2:54:12.089    2:54:24.861    12.772     12.772     Paused by player, Unpause by player
262  2:07:07.585    2:54:25.828    2:54:37.468    11.640     11.640     Paused by player, Unpause by player
263  2:07:08.135    2:54:37.996    2:54:42.362    4.366      4.366      Paused by player, Unpause by player
264  2:07:08.985    2:54:43.221    2:54:45.556    2.335      2.335      Paused by player, Unpause by player
265  2:07:09.535    2:54:46.073    2:54:47.121    1.048      1.048      Paused by player, Unpause by player
266  2:07:17.335    2:54:54.888    2:54:58.654    3.766      3.766      Paused by player, Unpause by player
267  2:07:17.785    2:54:59.095    2:54:59.581    0.486      0.486      Paused by player, Unpause by player
268  2:07:18.135    2:54:59.889    2:55:00.444    0.555      0.555      Paused by player, Unpause by player
269  2:07:23.835    2:55:06.167    2:55:10.779    4.612      4.612      Paused by player, Unpause by player
270  2:09:09.685    2:56:56.623    2:56:57.202    0.579      0.579      Paused by player, Unpause by player
271  2:09:12.735    2:57:00.235    2:57:02.192    1.957      1.957      Paused by player, Unpause by player
272  2:12:48.535    3:00:38.011    3:01:11.892    33.881     33.881     Paused by player, Unpause by player
273  2:16:48.435    3:05:11.766    3:05:40.733    28.967     28.967     Paused by player, Unpause by player
274  2:17:16.685    3:06:08.975    3:06:09.737    0.762      0.762      Paused by player, Unpause by player
275  2:17:21.135    3:06:14.163    3:06:14.738    0.575      0.575      Paused by player, Unpause by player
276  2:17:28.685    3:06:22.288    3:06:24.809    2.521      2.521      Paused by player, Unpause by player
277  2:17:57.135    3:06:53.231    3:06:55.848    2.617      2.617      Paused by player, Unpause by player
278  2:18:09.785    3:07:08.515    3:07:13.028    4.513      4.513      Paused by player, Unpause by player
279  2:18:11.185    3:07:14.408    3:07:25.438    11.030     11.030     Paused by player, Unpause by player
280  2:18:12.685    3:07:26.930    3:07:37.760    10.830     10.830     Paused by player, Unpause by player
281  2:18:17.735    3:07:42.775    3:07:52.216    9.441      9.441      Paused by player, Unpause by player
282  2:18:21.285    3:07:55.737    3:08:00.021    4.284      4.284      Paused by player, Unpause by player
283  2:18:23.785    3:08:02.513    3:08:04.153    1.640      1.640      Paused by player, Unpause by player
284  2:18:24.735    3:08:05.094    3:08:07.733    2.639      2.639      Paused by player, Unpause by player
285  2:18:25.235    3:08:08.244    3:08:11.977    3.733      3.733      Paused by player, Unpause by player
286  2:18:29.985    3:08:16.700    3:08:20.601    3.901      3.901      Paused by player, Unpause by player
287  2:18:33.035    3:08:23.696    3:08:41.888    18.192     18.192     Paused by player, Unpause by player
288  2:18:43.485    3:08:52.304    3:08:53.622    1.318      1.318      Paused by player, Unpause by player
289  2:18:51.335    3:09:01.458    3:09:07.857    6.399      6.399      Paused by player, Unpause by player
290  2:19:10.685    3:09:27.193    3:09:31.272    4.079      4.079      Paused by player, Unpause by player
291  2:19:14.235    3:09:34.818    3:09:35.456    0.638      0.638      Paused by player, Unpause by player
292  2:20:00.685    3:10:21.870    3:10:23.375    1.505      1.505      Paused by player, Unpause by player
293  2:20:29.185    3:10:51.904    3:11:15.951    24.047     24.047     Paused by player, Unpause by player
294  2:20:29.735    3:11:16.511    3:11:24.735    8.224      8.224      Paused by player, Unpause by player
295  2:20:32.485    3:11:27.477    3:11:35.736    8.259      8.259      Paused by player, Unpause by player
296  2:20:33.835    3:11:37.076    3:12:03.144    26.068     26.068     Paused by player, Unpause by player
297  2:20:37.735    3:12:07.052    3:12:08.799    1.747      1.747      Paused by player, Unpause by player
298  2:20:55.935    3:12:26.997    3:12:40.577    13.580     13.580     Paused by player, Unpause by player
299  2:20:58.185    3:12:42.791    3:12:44.763    1.972      1.972      Paused by player, Unpause by player
300  2:21:00.385    3:12:46.949    3:12:49.017    2.068      2.068      Paused by player, Unpause by player
301  2:21:02.285    3:12:50.892    3:12:52.668    1.776      1.776      Paused by player, Unpause by player
302  2:21:03.135    3:12:53.509    3:12:56.787    3.278      3.278      Paused by player, Unpause by player
303  2:21:11.785    3:13:05.442    3:13:07.576    2.134      2.134      Paused by player, Unpause by player
304  2:21:21.635    3:13:17.384    3:14:00.788    43.404     43.404     Paused by player, Unpause by player
305  2:21:23.535    3:14:02.650    3:14:09.595    6.945      6.945      Paused by player, Unpause by player
306  2:21:24.085    3:14:10.111    3:14:11.581    1.470      1.470      Paused by player, Unpause by player
307  2:21:25.585    3:14:13.078    3:14:38.482    25.404     25.404     Paused by player, Unpause by player
308  2:21:26.485    3:14:39.373    3:14:50.785    11.412     11.412     Paused by player, Unpause by player
309  2:21:58.885    3:15:23.170    3:15:34.576    11.406     11.406     Paused by player, Unpause by player
310  2:22:43.535    3:16:19.205    3:16:21.779    2.574      2.574      Paused by player, Unpause by player
311  2:23:52.035    3:17:30.275    3:17:31.532    1.257      1.257      Paused by player, Unpause by player
312  2:24:02.435    3:17:41.920    3:17:54.080    12.160     12.160     Paused by player, Unpause by player
313  2:24:02.885    3:17:54.504    3:17:58.731    4.227      4.227      Paused by player, Unpause by player
314  2:24:15.635    3:18:11.473    3:18:12.444    0.971      0.971      Paused by player, Unpause by player
315  2:24:16.435    3:18:13.212    3:18:14.609    1.397      1.397      Paused by player, Unpause by player
316  2:24:16.635    3:18:14.774    3:18:15.914    1.140      1.140      Paused by player, Unpause by player
317  2:24:21.485    3:18:20.734    3:18:22.324    1.590      1.590      Paused by player, Unpause by player
318  2:24:22.935    3:18:23.755    3:18:30.961    7.206      7.206      Paused by player, Unpause by player
319  2:24:23.485    3:18:31.480    3:18:32.544    1.064      1.064      Paused by player, Unpause by player
320  2:24:24.085    3:18:33.144    3:18:34.299    1.155      1.155      Paused by player, Unpause by player
321  2:24:24.735    3:18:34.947    3:18:36.951    2.004      2.004      Paused by player, Unpause by player
322  2:24:30.985    3:18:43.191    3:18:43.921    0.730      0.730      Paused by player, Unpause by player
323  2:24:36.685    3:18:49.582    3:18:50.448    0.866      0.866      Paused by player, Unpause by player
324  2:24:37.385    3:18:51.134    3:18:53.029    1.895      1.895      Paused by player, Unpause by player
325  2:24:38.185    3:18:53.825    3:18:55.358    1.533      1.533      Paused by player, Unpause by player
326  2:24:42.535    3:18:59.663    3:19:16.798    17.135     17.135     Paused by player, Unpause by player
327  2:24:42.985    3:19:17.214    3:19:20.055    2.841      2.841      Paused by player, Unpause by player
328  2:24:56.585    3:19:33.635    3:19:35.381    1.746      1.746      Paused by player, Unpause by player
329  2:24:57.135    3:19:35.906    3:19:56.777    20.871     20.871     Paused by player, Unpause by player
330  2:25:05.435    3:20:05.095    3:20:07.742    2.647      2.647      Paused by player, Unpause by player
331  2:25:07.285    3:20:09.592    3:20:12.349    2.757      2.757      Paused by player, Unpause by player
332  2:25:13.435    3:20:18.532    3:21:00.948    42.416     42.416     Paused by player, Unpause by player
333  2:25:18.635    3:21:06.125    3:21:45.328    39.203     39.203     Paused by player, Unpause by player
334  2:25:21.185    3:21:47.847    3:22:12.119    24.272     24.272     Paused by player, Unpause by player
335  2:25:23.235    3:22:14.169    3:22:32.794    18.625     18.625     Paused by player, Unpause by player
336  2:25:24.835    3:22:34.364    3:22:41.458    7.094      7.094      Paused by player, Unpause by player
337  2:25:28.785    3:22:45.380    3:22:46.199    0.819      0.819      Paused by player, Unpause by player
338  2:25:29.885    3:22:47.316    3:23:25.481    38.165     38.165     Paused by player, Unpause by player
339  2:25:42.685    3:23:38.272    3:24:09.374    31.102     31.102     Paused by player, Unpause by player
340  2:25:46.185    3:24:12.854    3:24:13.510    0.656      0.656      Paused by player, Unpause by player
341  2:25:46.935    3:24:14.236    3:24:15.082    0.846      0.846      Paused by player, Unpause by player
342  2:25:48.235    3:24:16.357    3:24:16.943    0.586      0.586      Paused by player, Unpause by player
343  2:25:49.335    3:24:18.027    3:24:18.580    0.553      0.553      Paused by player, Unpause by player
344  2:25:50.435    3:24:19.661    3:24:54.547    34.886     34.886     Paused by player, Unpause by player
345  2:25:51.035    3:24:55.144    3:24:56.472    1.328      1.328      Paused by player, Unpause by player
346  2:26:01.885    3:25:07.297    3:25:15.328    8.031      8.031      Paused by player, Unpause by player
347  2:26:02.685    3:25:16.108    3:25:18.674    2.566      2.566      Paused by player, Unpause by player
348  2:26:05.085    3:25:21.088    3:25:24.942    3.854      3.854      Paused by player, Unpause by player
349  2:26:12.735    3:25:32.609    3:25:47.393    14.784     14.784     Paused by player, Unpause by player
350  2:26:21.135    3:25:55.762    3:25:58.018    2.256      2.256      Paused by player, Unpause by player
351  2:26:31.335    3:26:08.252    3:26:12.059    3.807      3.807      Paused by player, Unpause by player
352  2:26:33.935    3:26:14.667    3:26:17.157    2.490      2.490      Paused by player, Unpause by player
353  2:26:35.285    3:26:18.500    3:26:43.379    24.879     24.879     Paused by player, Unpause by player
354  2:26:37.535    3:26:45.587    3:26:46.436    0.849      0.849      Paused by player, Unpause by player
355  2:26:37.935    3:26:46.795    3:26:47.086    0.291      0.291      Paused by player, Unpause by player
356  2:26:38.235    3:26:47.342    3:26:53.314    5.972      5.972      Paused by player, Unpause by player
357  2:26:43.385    3:26:58.456    3:27:00.312    1.856      1.856      Paused by player, Unpause by player
358  2:26:43.885    3:27:00.803    3:27:10.664    9.861      9.861      Paused by player, Unpause by player
359  2:26:50.435    3:27:17.189    3:27:19.326    2.137      2.137      Paused by player, Unpause by player
360  2:26:51.285    3:27:20.152    3:27:53.627    33.475     33.475     Paused by player, Unpause by player
361  2:26:54.385    3:27:56.724    3:27:59.542    2.818      2.818      Paused by player, Unpause by player
362  2:26:55.385    3:28:00.517    3:28:02.103    1.586      1.586      Paused by player, Unpause by player
363  2:26:56.035    3:28:02.745    3:28:04.067    1.322      1.322      Paused by player, Unpause by player
364  2:26:56.885    3:28:04.883    3:28:06.276    1.393      1.393      Paused by player, Unpause by player
365  2:26:59.535    3:28:08.910    3:28:09.667    0.757      0.757      Paused by player, Unpause by player
366  2:27:17.635    3:28:27.724    3:28:28.507    0.783      0.783      Paused by player, Unpause by player
367  2:27:18.235    3:28:29.088    3:28:29.705    0.617      0.617      Paused by player, Unpause by player
368  2:27:21.285    3:28:32.714    3:28:33.485    0.771      0.771      Paused by player, Unpause by player
369  2:27:23.285    3:28:35.471    3:28:36.184    0.713      0.713      Paused by player, Unpause by player
370  2:27:24.035    3:28:36.902    3:28:52.753    15.851     15.851     Paused by player, Unpause by player
371  2:27:24.785    3:28:53.476    3:28:55.695    2.219      2.219      Paused by player, Unpause by player
372  2:27:25.585    3:28:56.492    3:28:57.383    0.891      0.891      Paused by player, Unpause by player
373  2:27:26.285    3:28:58.086    3:28:58.662    0.576      0.576      Paused by player, Unpause by player
374  2:27:27.135    3:28:59.491    3:28:59.791    0.300      0.300      Paused by player, Unpause by player
375  2:27:27.735    3:29:00.364    3:29:00.636    0.272      0.272      Paused by player, Unpause by player
376  2:27:28.535    3:29:01.427    3:29:02.495    1.068      1.068      Paused by player, Unpause by player
377  2:27:28.885    3:29:02.827    3:29:03.521    0.694      0.694      Paused by player, Unpause by player
378  2:27:35.135    3:29:09.761    3:29:10.742    0.981      0.981      Paused by player, Unpause by player
379  2:27:35.535    3:29:11.142    3:29:11.752    0.610      0.610      Paused by player, Unpause by player
380  2:27:41.635    3:29:17.835    3:29:18.734    0.899      0.899      Paused by player, Unpause by player
381  2:27:41.935    3:29:19.017    3:29:19.366    0.349      0.349      Paused by player, Unpause by player
382  2:27:49.735    3:29:27.147    3:29:31.002    3.855      3.855      Paused by player, Unpause by player
383  2:27:59.285    3:29:40.517    3:30:14.301    33.784     33.784     Paused by player, Unpause by player
384  2:28:02.085    3:30:17.090    3:30:19.485    2.395      2.395      Paused by player, Unpause by player
385  2:28:09.985    3:30:27.369    3:30:40.033    12.664     12.664     Paused by player, Unpause by player
386  2:28:25.085    3:30:55.100    3:31:28.259    33.159     33.159     Paused by player, Unpause by player
387  2:28:25.585    3:31:28.762    3:31:34.410    5.648      5.648      Paused by player, Unpause by player
388  2:28:29.235    3:31:38.066    3:31:46.318    8.252      8.252      Paused by player, Unpause by player
389  2:28:32.885    3:31:49.966    3:32:02.495    12.529     12.529     Paused by player, Unpause by player
390  2:28:34.235    3:32:03.814    3:32:07.403    3.589      3.589      Paused by player, Unpause by player
391  2:28:35.035    3:32:08.178    3:32:12.294    4.116      4.116      Paused by player, Unpause by player
392  2:31:12.985    3:34:50.249    3:34:57.926    7.677      7.677      Paused by player, Unpause by player
393  2:31:13.785    3:34:58.702    3:34:59.905    1.203      1.203      Paused by player, Unpause by player
394  2:31:14.635    3:35:00.724    3:35:02.973    2.249      2.249      Paused by player, Unpause by player
395  2:31:16.635    3:35:04.936    3:35:06.927    1.991      1.991      Paused by player, Unpause by player
396  2:31:20.385    3:35:10.639    3:35:11.618    0.979      0.979      Paused by player, Unpause by player
397  2:31:20.885    3:35:12.099    3:35:12.679    0.580      0.580      Paused by player, Unpause by player
398  2:32:11.235    3:36:03.040    3:36:06.824    3.784      3.784      Paused by player, Unpause by player
399  2:32:15.935    3:36:11.491    3:36:15.936    4.445      4.445      Paused by player, Unpause by player
400  2:32:18.135    3:36:18.107    3:36:22.682    4.575      4.575      Paused by player, Unpause by player
401  2:32:21.435    3:36:25.987    3:36:28.153    2.166      2.166      Paused by player, Unpause by player
402  2:32:23.435    3:36:30.127    3:36:33.356    3.229      3.229      Paused by player, Unpause by player
403  2:32:23.985    3:36:33.899    3:36:34.560    0.661      0.661      Paused by player, Unpause by player
404  2:32:36.485    3:36:47.081    3:36:58.190    11.109     11.109     Paused by player, Unpause by player
405  2:32:46.135    3:37:07.814    3:37:13.962    6.148      6.148      Paused by player, Unpause by player
406  2:33:03.835    3:37:31.628    3:37:32.746    1.118      1.118      Paused by player, Unpause by player
407  2:33:04.435    3:37:33.345    3:37:38.186    4.841      4.841      Paused by player, Unpause by player
408  2:33:10.285    3:37:44.032    3:37:44.675    0.643      0.643      Paused by player, Unpause by player
409  2:33:10.885    3:37:45.278    3:37:46.071    0.793      0.793      Paused by player, Unpause by player
410  2:33:35.835    3:38:10.979    3:38:12.093    1.114      1.114      Paused by player, Unpause by player
411  2:33:45.935    3:38:22.182    3:38:23.187    1.005      1.005      Paused by player, Unpause by player
412  2:33:46.185    3:38:23.420    3:38:24.616    1.196      1.196      Paused by player, Unpause by player
413  2:33:46.485    3:38:24.902    3:38:26.227    1.325      1.325      Paused by player, Unpause by player
414  2:33:47.485    3:38:27.194    3:38:29.571    2.377      2.377      Paused by player, Unpause by player
415  2:33:48.335    3:38:30.404    3:38:32.047    1.643      1.643      Paused by player, Unpause by player
416  2:33:49.385    3:38:33.079    3:38:33.672    0.593      0.593      Paused by player, Unpause by player
417  2:33:54.985    3:38:39.272    3:38:40.020    0.748      0.748      Paused by player, Unpause by player
418  2:35:19.035    3:40:04.070    3:40:05.103    1.033      1.033      Paused by player, Unpause by player
419  2:35:20.985    3:40:07.054    3:40:07.357    0.303      0.303      Paused by player, Unpause by player
420  2:35:23.085    3:40:09.450    3:40:10.724    1.274      1.274      Paused by player, Unpause by player
421  2:35:23.985    3:40:11.589    3:40:12.814    1.225      1.225      Paused by player, Unpause by player
422  2:35:24.735    3:40:13.558    3:40:14.157    0.599      0.599      Paused by player, Unpause by player
423  2:35:25.235    3:40:14.645    3:40:15.087    0.442      0.442      Paused by player, Unpause by player
424  2:35:28.985    3:40:18.837    3:40:34.651    15.814     15.814     Paused by player, Unpause by player
0    2:36:24.685    3:41:30.356    3:43:28.531    118.175               Paused by player, Unpause by rendered
1    2:36:31.409    3:43:35.292    3:48:27.474    292.182    292.182    Paused by player, Unpause by player
2    2:39:02.059    3:50:58.087    3:50:59.503    1.416      1.416      Paused by player, Unpause by player
3    2:39:21.709    3:51:19.144    3:57:37.614    378.470    378.470    Paused by player, Unpause by player
4    2:39:26.659    3:57:42.531    3:57:46.067    3.536      3.536      Paused by player, Unpause by player
5    2:39:28.509    3:57:47.902    3:57:54.191    6.289      6.289      Paused by player, Unpause by player
0    2:39:32.459    3:57:58.130    3:58:42.464    44.334                Paused by player, Unpause by rendered
1    2:40:35.511    3:59:45.534    4:06:55.145    429.611    429.611    Paused by player, Unpause by player
2    2:40:47.711    4:07:07.356    8:08:38.468    14491.112             Paused by player, Unpause by rendered
3    2:41:00.925    8:08:51.697    8:09:15.058    23.361     23.361     Paused by player, Unpause by player
4    2:41:50.325    8:10:04.444    8:10:11.482    7.038      7.038      Paused by player, Unpause by player
5    2:41:51.275    8:10:12.417    8:10:14.722    2.305      2.305      Paused by player, Unpause by player
6    2:41:51.925    8:10:15.348    8:10:16.221    0.873      0.873      Paused by player, Unpause by player
7    2:41:52.325    8:10:16.623    8:10:17.320    0.697      0.697      Paused by player, Unpause by player
8    2:42:04.125    8:10:29.119    8:10:31.102    1.983      1.983      Paused by player, Unpause by player
9    2:42:04.675    8:10:31.614    8:10:34.001    2.387      2.387      Paused by player, Unpause by player
10   2:42:05.125    8:10:34.424    8:10:36.074    1.650      1.650      Paused by player, Unpause by player
11   2:42:07.775    8:10:38.719    8:10:39.011    0.292      0.292      Paused by player, Unpause by player
12   2:42:15.875    8:10:47.089    8:10:47.715    0.626      0.626      Paused by player, Unpause by player
